state,hits,keyword,geo,gprop
Kansas,100,superbowl,US,web
Missouri,88,superbowl,US,web
Hawaii,73,superbowl,US,web
Idaho,72,superbowl,US,web
Vermont,70,superbowl,US,web
California,69,superbowl,US,web
Montana,68,superbowl,US,web
North Dakota,68,superbowl,US,web
Alaska,67,superbowl,US,web
Nevada,67,superbowl,US,web
Maine,67,superbowl,US,web
Utah,65,superbowl,US,web
Wyoming,65,superbowl,US,web
New Hampshire,65,superbowl,US,web
New Mexico,65,superbowl,US,web
Nebraska,64,superbowl,US,web
Washington,64,superbowl,US,web
Colorado,63,superbowl,US,web
Oregon,63,superbowl,US,web
Arizona,63,superbowl,US,web
Rhode Island,61,superbowl,US,web
Massachusetts,57,superbowl,US,web
Florida,56,superbowl,US,web
Iowa,56,superbowl,US,web
Illinois,56,superbowl,US,web
New Jersey,56,superbowl,US,web
Michigan,55,superbowl,US,web
Connecticut,55,superbowl,US,web
Minnesota,55,superbowl,US,web
South Dakota,55,superbowl,US,web
Pennsylvania,55,superbowl,US,web
Virginia,54,superbowl,US,web
Delaware,54,superbowl,US,web
Arkansas,54,superbowl,US,web
Wisconsin,54,superbowl,US,web
Oklahoma,53,superbowl,US,web
Texas,53,superbowl,US,web
Ohio,52,superbowl,US,web
District of Columbia,51,superbowl,US,web
North Carolina,51,superbowl,US,web
Maryland,50,superbowl,US,web
Louisiana,50,superbowl,US,web
New York,50,superbowl,US,web
Indiana,50,superbowl,US,web
West Virginia,49,superbowl,US,web
Tennessee,49,superbowl,US,web
Alabama,47,superbowl,US,web
South Carolina,46,superbowl,US,web
Kentucky,46,superbowl,US,web
Georgia,45,superbowl,US,web
Mississippi,45,superbowl,US,web
